ngram,prediction,freq,prop
<s>,'s,217,5.13E-05
<s>,'t,272,6.43E-05
<s>,.,14720,0.003478102
<s>,a,28871,0.006821759
<s>,ab,49,1.16E-05
<s>,about,1317,0.000311186
<s>,ac,124,2.93E-05
<s>,according,1888,0.000446104
<s>,actually,1115,0.000263457
<s>,ad,600,0.00014177
<s>,add,3306,0.000781155
<s>,addition,85,2.01E-05
<s>,additionally,74,1.75E-05
<s>,ade,102,2.41E-05
<s>,af,267,6.31E-05
<s>,after,11235,0.002654652
<s>,again,1526,0.00036057
<s>,ah,701,0.000165635
<s>,aid,41,9.69E-06
<s>,al,560,0.000132319
<s>,all,9507,0.002246353
<s>,ally,260,6.14E-05
<s>,almost,610,0.000144133
<s>,along,488,0.000115307
<s>,also,4476,0.001057608
<s>,although,3253,0.000768632
<s>,always,678,0.000160201
<s>,am,1082,0.000255659
<s>,among,471,0.00011129
<s>,an't,139,3.28E-05
<s>,an,5007,0.001183075
<s>,and,56134,0.013263573
<s>,another,2974,0.000702709
<s>,ant,161,3.80E-05
<s>,anted,89,2.10E-05
<s>,anut,109,2.58E-05
<s>,any,1468,0.000346865
<s>,anyone,799,0.000188791
<s>,anything,203,4.80E-05
<s>,anyway,2815,0.00066514
<s>,anyways,198,4.68E-05
<s>,ap,80,1.89E-05
<s>,apparently,1170,0.000276452
<s>,april,298,7.04E-05
<s>,ar,145,3.43E-05
<s>,are,3002,0.000709325
<s>,arently,78,1.84E-05
<s>,around,40,9.45E-06
<s>,as,23309,0.005507547
<s>,ase,195,4.61E-05
<s>,aside,39,9.22E-06
<s>,ask,292,6.90E-05
<s>,at,10271,0.002426874
<s>,ate,100,2.36E-05
<s>,ause,347,8.20E-05
<s>,ave,1081,0.000255423
<s>,aven't,33,7.80E-06
<s>,aw,103,2.43E-05
<s>,ay,427,0.000100893
<s>,b,764,0.000180521
<s>,ba,170,4.02E-05
<s>,back,1442,0.000340722
<s>,bad,75,1.77E-05
<s>,bake,828,0.000195643
<s>,basically,600,0.00014177
<s>,be,2695,0.000636786
<s>,because,4908,0.001159682
<s>,been,68,1.61E-05
<s>,before,2269,0.000536129
<s>,being,1557,0.000367894
<s>,below,544,0.000128539
<s>,besides,758,0.000179103
<s>,best,746,0.000176268
<s>,better,195,4.61E-05
<s>,between,398,9.40E-05
<s>,big,618,0.000146024
<s>,bl,96,2.27E-05
<s>,black,562,0.000132792
<s>,bo,140,3.31E-05
<s>,book,54,1.28E-05
<s>,both,1936,0.000457446
<s>,br,134,3.17E-05
<s>,bring,453,0.000107037
<s>,bu,721,0.000170361
<s>,but,44018,0.010400754
<s>,by,5444,0.001286331
<s>,c,930,0.000219744
<s>,ca,224,5.29E-05
<s>,call,156,3.69E-05
<s>,can't,257,6.07E-05
<s>,can,2722,0.000643165
<s>,canut,87,2.06E-05
<s>,ce,456,0.000107746
<s>,certain,39,9.22E-06
<s>,certainly,243,5.74E-05
<s>,ch,555,0.000131138
<s>,check,1197,0.000282832
<s>,chris,218,5.15E-05
<s>,ck,201,4.75E-05
<s>,cl,38,8.98E-06
<s>,clearly,147,3.47E-05
<s>,click,552,0.000130429
<s>,co,348,8.22E-05
<s>,combine,161,3.80E-05
<s>,come,937,0.000221398
<s>,congratulations,76,1.80E-05
<s>,consider,152,3.59E-05
<s>,cook,386,9.12E-05
<s>,cool,258,6.10E-05
<s>,could,873,0.000206276
<s>,course,297,7.02E-05
<s>,cover,328,7.75E-05
<s>,cr,74,1.75E-05
<s>,ctually,34,8.03E-06
<s>,cu,42,9.92E-06
<s>,cup,1244,0.000293937
<s>,cups,287,6.78E-05
<s>,currently,72,1.70E-05
<s>,cut,483,0.000114125
<s>,d,1730,0.000408772
<s>,da,173,4.09E-05
<s>,david,590,0.000139408
<s>,day,717,0.000169416
<s>,de,270,6.38E-05
<s>,dear,712,0.000168234
<s>,despite,1525,0.000360333
<s>,di,147,3.47E-05
<s>,did,2300,0.000543453
<s>,didn't,78,1.84E-05
<s>,didnut,51,1.21E-05
<s>,ding,82,1.94E-05
<s>,do,5874,0.001387933
<s>,does,1428,0.000337414
<s>,doesn't,90,2.13E-05
<s>,doesnut,77,1.82E-05
<s>,don't,2186,0.000516517
<s>,donut,2236,0.000528331
<s>,dr,771,0.000182175
<s>,du,48,1.13E-05
<s>,due,194,4.58E-05
<s>,during,1888,0.000446104
<s>,dy,40,9.45E-06
