"word","freq"
"i don t",24036
"thanks for the",23515
"can t wait",14239
"i can t",14054
"i m not",9466
"looking forward to",8713
"thank you for",8591
"i love you",8245
"it s a",8013
"for the follow",7798
"you don t",7718
"t wait to",7409
"going to be",7395
"don t know",7310
"i want to",7035
"i ll be",6350
"a lot of",6224
"i didn t",6209
"to be a",5983
"i m going",5947
"i need to",5823
"i have a",5688
"i m so",5683
"i think i",5610
"one of the",5542
"i ve been",5457
"have a great",5376
"to see you",5350
"i m a",5189
"it s not",5085
"don t have",5038
"i have to",4944
"m going to",4802
"is going to",4660
"if you re",4603
"and i m",4461
"you have a",4382
"to go to",4379
"for the rt",4373
"you can t",4287
"let me know",4207
"but i m",4127
"i wish i",3895
"i m in",3792
"i feel like",3759
"you want to",3634
"i haven t",3601
"thanks for following",3580
"don t want",3499
"of the day",3489
"you so much",3440
"don t think",3431
"would love to",3385
"one of my",3365
"wait to see",3323
"you for the",3296
"a great day",3265
"you have to",3263
"i m gonna",3193
"in the world",3191
"that s a",3162
"how are you",3151
"i m just",3149
"so i can",3116
"it was a",3113
"t wait for",3102
"that s what",3070
"don t forget",3064
"it s the",3050
"i know i",2939
"t want to",2932
"thanks so much",2927
"i will be",2898
"there s a",2883
"what do you",2876
"let s go",2864
"mother s day",2842
"had a great",2834
"the end of",2832
"do you have",2821
"if you want",2778
"be able to",2759
"the rest of",2755
"out of the",2744
"i need a",2740
"i hope you",2733
"so much for",2720
"i miss you",2712
"but it s",2676
"wish i could",2651
"don t get",2630
"i had a",2630
"do you think",2607
"don t like",2601
"what are you",2600
"can t believe",2583
"i m sure",2564
"it s been",2554
"to see the",2549
"check it out",2522
"want to be",2503
"look forward to",2493
"what s up",2493
"and it s",2487
"if you are",2482
"is the best",2478
"thank you so",2441
"please follow me",2433
"you need to",2423
"if you have",2421
"the first time",2390
"s going to",2346
"i think it",2335
"you re not",2325
"you re a",2320
"in the morning",2294
"go to the",2290
"all the time",2281
"you re welcome",2267
"we need to",2262
"i love it",2248
"to have a",2225
"i love the",2213
"i m still",2190
"let us know",2181
"need to get",2142
"i am so",2136
"what s the",2133
"if you don",2128
"that s the",2126
"it would be",2120
"to get a",2120
"we don t",2109
"they don t",2108
"we ll be",2107
"have a good",2067
"when i m",2065
"looking for a",2059
"for the first",2049
"a great time",2046
"don t even",2045
"that i m",2044
"when you re",2043
"to all the",2037
"rt if you",2035
"going to the",2025
"t have to",2023
"it will be",2004
"i m on",1991
"i won t",1976
"now i m",1967
"there is a",1965
"won t be",1961
"on my way",1936
"how do you",1925
"to meet you",1924
"think i m",1920
"we have a",1919
"are going to",1910
"would like to",1909
"that would be",1908
"of the year",1893
"hope to see",1890
"a great weekend",1886
"a good day",1877
"think it s",1871
"shout out to",1870
"what s your",1857
"i have no",1849
"it s like",1849
"this is the",1833
"happy birthday to",1832
"didn t know",1824
"to be in",1822
"that s why",1816
"be sure to",1812
"it s so",1803
"it s all",1802
"don t care",1799
"in front of",1797
"i love my",1789
"if you can",1787
"to be the",1783
"there is no",1754
"end of the",1751
"i m glad",1751
"it s just",1751
"want to go",1748
"have to be",1739
"it s time",1728
"happy mothers day",1722
"one of those",1722
"part of the",1720
"i m sorry",1717
"we will be",1714
"happy new year",1711
"it doesn t",1709
"so i m",1709
"in my life",1699
"check out the",1693
"feel like i",1693
"i think you",1692
"of the best",1692
"i had to",1689
"i got a",1674
"all of the",1671
"did you know",1671
"d love to",1654
"the only one",1651
"are you going",1648
"don t you",1646
"t know what",1644
"don t be",1641
"i just want",1630
"for the mention",1623
"know how to",1622
"in love with",1612
"it s going",1610
"is one of",1608
"can t get",1607
"this is a",1603
"to talk to",1600
"see you there",1598
"trying to get",1597
"you know what",1597
"at the end",1596
"to make a",1596
"do you know",1595
"to make it",1587
"happy mother s",1581
"of my life",1578
"for all the",1577
"just don t",1574
"d like to",1570
"i ve got",1563
"rest of the",1563
"i am a",1558
"sounds like a",1555
"as long as",1551
"back to the",1549
"for the ff",1547
"you going to",1540
"i know you",1539
"re going to",1539
"wish i was",1538
"know if you",1537
"when i was",1537
"i used to",1529
"and i ll",1519
"you didn t",1519
"i ve never",1516
"i love that",1506
"want to see",1505
"thanks for sharing",1495
"thank you to",1494
"some of the",1489
"i know it",1487
"i was just",1487
"hope you re",1478
"as much as",1469
"i couldn t",1467
"is a great",1463
"be a good",1459
"i hate when",1459
"to do it",1456
"i would love",1453
"t forget to",1451
"a bunch of",1450
"i guess i",1449
"i m at",1446
"where are you",1445
"i am not",1438
"just want to",1436
"what i m",1435
"don t need",1432
"you are a",1428
"i get a",1424
"you ll be",1421
"are you doing",1419
"i wouldn t",1419
"like i m",1418
"will be a",1418
"can t be",1408
"go back to",1404
"need to be",1404
"i m getting",1398
"i m the",1398
"getting ready for",1394
"at the same",1393
"awkward moment when",1393
"let s get",1393
"i just got",1392
"i ll have",1387
"i ve ever",1386
"if it s",1384
"on the way",1383
"my way to",1382
"what to do",1382
"there s no",1381
"the fact that",1380
"haven t been",1371
"hope you have",1370
"i m pretty",1368
"i wonder if",1364
"i get to",1360
"a long time",1359
"that was a",1357
"when i get",1355
"i d be",1354
"you guys are",1346
"to have you",1342
"you re in",1341
"back in the",1339
"a chance to",1337
"you know you",1335
"that s not",1333
"we can t",1332
"the same thing",1328
"know it s",1324
"for the next",1318
"i have been",1318
"not going to",1316
"t have a",1316
"i wasn t",1313
"can i get",1312
"it is a",1311
"getting ready to",1309
"ll have to",1309
"know i m",1308
"didn t get",1307
"to get my",1307
"don t let",1306
"gonna be a",1299
"i d like",1297
"s what i",1297
"s a good",1292
"i ve seen",1291
"you re the",1289
"ready for the",1288
"i want a",1286
"of my favorite",1280
"don t miss",1278
"if you need",1276
"is in the",1269
"i m doing",1265
"check out our",1262
"get out of",1261
"the same time",1261
"me i m",1260
"all the way",1257
"a couple of",1253
"you had a",1252
"to get to",1251
"have to go",1249
"don t worry",1244
"make sure you",1242
"thanks for your",1242
"love you too",1235
"to get the",1226
"wait for the",1226
"forward to seeing",1220
"to do with",1220
"out of my",1216
"you know that",1213
"in a few",1212
"i m really",1208
"i d love",1205
"much for the",1205
"to take a",1205
"have no idea",1202
"but i can",1201
"i love your",1200
"but i don",1199
"he s a",1198
"i think the",1195
"if i can",1188
"moment when you",1187
"is not a",1186
"to all of",1186
"you and your",1186
"you know it",1185
"it wasn t",1184
"did you get",1182
"time to get",1182
"i m trying",1181
"is a good",1181
"know what you",1180
"every time i",1176
"wish i had",1173
"i m looking",1171
"in the middle",1171
"be in the",1170
"i have the",1168
"thought it was",1168
"i can get",1164
"hit me up",1162
"i was in",1160
"welcome to the",1157
"what a great",1157
"go to sleep",1156
"would be a",1154
"for me to",1148
"thanks to all",1143
"that it s",1143
"have you been",1142
"to be on",1142
"are the best",1140
"who wants to",1140
"don t wanna",1138
"i see you",1138
"for a great",1135
"me know if",1135
"have to do",1133
"i like the",1133
"and i will",1130
"it s my",1130
"follow me i",1121
"was going to",1118
"forward to the",1117
"let you know",1117
"is there a",1115
"i m ready",1114
"so we can",1114
"s gonna be",1113
"we have to",1111
"up in the",1110
"and i have",1107
"haven t seen",1107
"rt i m",1107
"you can do",1106
"in my head",1104
"for you to",1103
"all is well",1101
"will you be",1101
"be a great",1100
"you know i",1100
"don t understand",1096
"the way to",1095
"to check out",1095
"to see it",1095
"that awkward moment",1094
"spread the word",1093
"what is the",1092
"so proud of",1087
"see you at",1086
"you in the",1085
"i was a",1085
"the only thing",1082
"love to see",1079
"great to see",1078
"i am going",1077
"i think that",1077
"to see what",1074
"what kind of",1074
"you are the",1073
"a part of",1071
"follow me back",1071
"keep up the",1071
"and i can",1065
"the middle of",1060
"give me a",1059
"and don t",1057
"in a while",1055
"you haven t",1055
"you will be",1054
"so much fun",1053
"you re going",1050
"looks like a",1049
"didn t have",1047
"thank you i",1047
"no matter what",1045
"way to go",1045
"if i m",1042
"day to all",1039
"going to get",1039
"that s awesome",1039
"a good time",1037
"as soon as",1037
"i think we",1034
"s time to",1033
"what is your",1030
"for a while",1021
"of the week",1018
"but i think",1017
"is gonna be",1017
"i would have",1015
"to watch the",1015
"excited to see",1011
"so excited to",1010
"can t even",1009
"cant wait to",1008
"how much i",1005
"i ve had",1005
"going to have",1004
"follow me please",1002
"i wanted to",1002
"and i love",1001
"now it s",1000
"see you in",998
"we ve got",998
"for following me",993
"am going to",991
"do you want",991
"i just saw",991
"will be in",987
"is such a",985
"to follow me",984
"for the shout",980
"i m thinking",980
"m not sure",980
"i thought i",979
"know what i",977
"i m about",975
"t know how",974
"why am i",972
"i went to",967
"want to do",967
"you re so",967
"go to bed",966
"t even know",966
"a good one",963
"i can do",962
"i ll take",961
"we ll see",959
"should be a",958
"i thought it",957
"miss you too",951
"get back to",944
"my best friend",943
"hope all is",942
"it ll be",942
"but i ll",942
"i like to",939
"i love this",939
"s been a",938
"t think i",937
"to listen to",937
"thx for the",936
"a beautiful day",933
"to all my",932
"you at the",932
"thanks for all",932
"see you soon",931
"ll be there",930
"that s how",928
"and that s",923
"used to be",922
"it s about",921
"it to the",921
"of the world",921
"want to get",919
"can t sleep",918
"will be the",917
"i like it",916
"a little bit",915
"to everyone who",914
"supposed to be",910
"you ve got",909
"can t stop",908
"to figure out",907
"when you get",904
"cinco de mayo",903
"it s gonna",902
"m pretty sure",902
"so excited for",901
"one of our",900
"that s my",900
"be on the",899
"hope you are",899
"what you think",898
"that s all",896
"it was great",895
"s a great",890
"by the way",889
"doesn t mean",889
"in the us",889
"you for your",885
"is on the",880
"has to be",879
"let s do",878
"the shout out",878
"right now i",878
"going to see",877
"m trying to",877
"a way to",877
"you are so",876
